"COUB","Country of birth","FBORN","Place of birth","EDU","Education level","AGE","Age","NAT","Citizenship","COU","Country of residence","Value","Flag Codes","Flags"
"EURO","Europe","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",221181,,
"EURO","Europe","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",447897,,
"EURO","Europe","0","Native-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",36440,,
"EURO","Europe","0","Native-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",11709694,,
"EURO","Europe","0","Native-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",11746134,,
"EURO","Europe","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",263156,,
"EURO","Europe","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",11930875,,
"EURO","Europe","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",12194031,,
"EURO","Europe","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",550770,,
"EURO","Europe","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",234413,,
"EURO","Europe","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",785183,,
"EURO","Europe","0","Native-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",55079,,
"EURO","Europe","0","Native-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",8961399,,
"EURO","Europe","0","Native-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",9016478,,
"EURO","Europe","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",605849,,
"EURO","Europe","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",9195812,,
"EURO","Europe","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",9801661,,
"EURO","Europe","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",151048,,
"EURO","Europe","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",124352,,
"EURO","Europe","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",275400,,
"EURO","Europe","0","Native-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",11050,,
"EURO","Europe","0","Native-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",5873562,,
"EURO","Europe","0","Native-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",5884612,,
"EURO","Europe","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",162098,,
"EURO","Europe","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",5997914,,
"EURO","Europe","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",6160012,,
"EURO","Europe","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",928534,,
"EURO","Europe","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",579946,,
"EURO","Europe","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",1508480,,
"EURO","Europe","0","Native-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",102569,,
"EURO","Europe","0","Native-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",26544655,,
"EURO","Europe","0","Native-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",26647224,,
"EURO","Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",1031103,,
"EURO","Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",27124601,,
"EURO","Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",28155704,,
"NOAM","North America","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",3185,,
"NOAM","North America","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",4136,,
"NOAM","North America","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",7321,,
"NOAM","North America","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",3185,,
"NOAM","North America","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",4136,,
"NOAM","North America","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",7321,,
"NOAM","North America","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",1276,,
"NOAM","North America","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",1765,,
"NOAM","North America","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",3041,,
"NOAM","North America","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",1276,,
"NOAM","North America","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",1765,,
"NOAM","North America","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",3041,,
"NOAM","North America","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",15492,,
"NOAM","North America","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",8806,,
"NOAM","North America","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",24298,,
"NOAM","North America","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",15492,,
"NOAM","North America","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",8806,,
"NOAM","North America","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",24298,,
"NOAM","North America","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",19953,,
"NOAM","North America","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",14707,,
"NOAM","North America","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",34660,,
"NOAM","North America","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",19953,,
"NOAM","North America","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",14707,,
"NOAM","North America","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",34660,,
"OCEA","Oceania","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",546,,
"OCEA","Oceania","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",588,,
"OCEA","Oceania","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",1134,,
"OCEA","Oceania","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",546,,
"OCEA","Oceania","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",588,,
"OCEA","Oceania","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",1134,,
"OCEA","Oceania","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",344,,
"OCEA","Oceania","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",350,,
"OCEA","Oceania","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",694,,
"OCEA","Oceania","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",344,,
"OCEA","Oceania","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",350,,
"OCEA","Oceania","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",694,,
"OCEA","Oceania","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",1368,,
"OCEA","Oceania","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",840,,
"OCEA","Oceania","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",2208,,
"OCEA","Oceania","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",1368,,
"OCEA","Oceania","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",840,,
"OCEA","Oceania","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",2208,,
"OCEA","Oceania","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",2258,,
"OCEA","Oceania","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",1778,,
"OCEA","Oceania","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",4036,,
"OCEA","Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",2258,,
"OCEA","Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",1778,,
"OCEA","Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",4036,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",8646,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",8294,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",16940,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",8646,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",8294,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",16940,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",11729,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",6234,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",17963,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",11729,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",6234,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",17963,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",12920,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",13309,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",26229,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",12920,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",13309,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",26229,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",33295,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",27837,,
"SCAC","South and Central America and Caribbean","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",61132,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",33295,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",27837,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",61132,,
"ALL_COUB","All countries of birth","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",458858,,
"ALL_COUB","All countries of birth","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",745267,,
"ALL_COUB","All countries of birth","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",1204125,,
"ALL_COUB","All countries of birth","0","Native-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",36440,,
"ALL_COUB","All countries of birth","0","Native-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",11709694,,
"ALL_COUB","All countries of birth","0","Native-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",11746134,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","FRA","France",495298,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",12454961,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",12950259,,
"ALL_COUB","All countries of birth","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",1206655,,
"ALL_COUB","All countries of birth","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",739049,,
"ALL_COUB","All countries of birth","1","Foreign-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",1945704,,
"ALL_COUB","All countries of birth","0","Native-born","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",55079,,
"ALL_COUB","All countries of birth","0","Native-born","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",8961399,,
"ALL_COUB","All countries of birth","0","Native-born","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",9016478,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","2","Citizen of another country","FRA","France",1261734,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",9700448,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","1","ISCED 0/1/2","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",10962182,,
"ALL_COUB","All countries of birth","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",328707,,
"ALL_COUB","All countries of birth","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",545020,,
"ALL_COUB","All countries of birth","1","Foreign-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",873727,,
"ALL_COUB","All countries of birth","0","Native-born","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",11050,,
"ALL_COUB","All countries of birth","0","Native-born","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",5873562,,
"ALL_COUB","All countries of birth","0","Native-born","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",5884612,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","2","Citizen of another country","FRA","France",339757,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",6418582,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","3_4","ISCED 5/6","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",6758339,,
"ALL_COUB","All countries of birth","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",1994220,,
"ALL_COUB","All countries of birth","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",2029336,,
"ALL_COUB","All countries of birth","1","Foreign-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",4023556,,
"ALL_COUB","All countries of birth","0","Native-born","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",102569,,
"ALL_COUB","All countries of birth","0","Native-born","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",26544655,,
"ALL_COUB","All countries of birth","0","Native-born","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",26647224,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","2","Citizen of another country","FRA","France",2096789,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","1","Citizen of the country of residence","FRA","France",28573991,,
"ALL_COUB","All countries of birth","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_NAT","All citizenships","FRA","France",30670780,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","OTO","OECD - Total",521925,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","99","Unknown citizenship status","OTO","OECD - Total",171301,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","OTO","OECD - Total",814633,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","3_10","25-64 years","ALL_NAT","All citizenships","OTO","OECD - Total",1507859,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","2","Citizen of another country","OTO","OECD - Total",521925,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","99","Unknown citizenship status","OTO","OECD - Total",171301,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","3_10","25-64 years","1","Citizen of the country of residence","OTO","OECD - Total",814633,,
